Date,Product,Category,Region,UnitPrice,UnitsSold,Revenue
2026-04-13,Monitor,Electronics,North,1150,8,9200
2026-07-08,Keyboard,Accessories,East,141,3,423
2026-03-16,Headphones,Accessories,West,1143,8,9144
2026-06-01,Headphones,Accessories,South,789,8,6312
2026-06-07,Smartphone,Electronics,West,975,5,4875
2026-06-10,Monitor,Electronics,South,41,9,369
2026-02-18,Headphones,Accessories,East,530,3,1590
2026-04-18,Monitor,Electronics,West,1174,5,5870
2026-02-20,Keyboard,Accessories,North,186,2,372
2026-05-12,Laptop,Electronics,West,33,2,66
2026-01-09,Smartphone,Electronics,North,917,4,3668
2026-04-02,Monitor,Electronics,East,528,8,4224
2026-06-24,Headphones,Accessories,South,1124,4,4496
2026-02-19,Monitor,Electronics,South,1041,6,6246
2026-02-23,Smartphone,Electronics,West,722,2,1444
2026-02-13,Smartphone,Electronics,South,1015,8,8120
2026-07-25,Monitor,Electronics,North,315,5,1575
2026-07-27,Keyboard,Accessories,South,898,5,4490
2026-01-24,Smartphone,Electronics,North,783,9,7047
2026-06-06,Keyboard,Accessories,North,540,8,4320
2026-05-09,Monitor,Electronics,West,1106,3,3318
2026-03-22,Headphones,Accessories,East,308,5,1540
2026-02-10,Monitor,Electronics,East,220,8,1760
2026-01-12,Smartphone,Electronics,North,1091,7,7637
2026-05-31,Keyboard,Accessories,East,703,8,5624
2026-02-04,Laptop,Electronics,East,632,3,1896
2026-01-01,Keyboard,Accessories,South,522,7,3654
2026-01-27,Laptop,Electronics,East,1058,3,3174
2026-03-04,Laptop,Electronics,West,1040,4,4160
2026-05-31,Keyboard,Accessories,East,560,4,2240
2026-01-13,Headphones,Accessories,East,1129,2,2258
2026-06-19,Keyboard,Accessories,South,1032,6,6192
2026-01-28,Monitor,Electronics,West,209,1,209
2026-05-09,Laptop,Electronics,East,652,4,2608
2026-07-24,Laptop,Electronics,East,729,8,5832
2026-06-04,Laptop,Electronics,South,703,8,5624
2026-07-26,Headphones,Accessories,South,1156,1,1156
2026-07-05,Monitor,Electronics,West,1156,5,5780
2026-04-23,Laptop,Electronics,East,132,2,264
2026-05-10,Monitor,Electronics,South,874,5,4370
2026-05-09,Headphones,Accessories,South,1173,5,5865
2026-06-21,Smartphone,Electronics,West,266,4,1064
2026-07-02,Headphones,Accessories,West,142,1,142
